Relatório;;;;;;
Arquivo criado em:2024-02-23 17:33:56;;;;;;
;;;;;;
Informação de dispositivo;;;;;;
Modelo do dispositivo;RC-51H;;Tipo de Sensor;Temperatura & Umidade(Interna);;
Número de série;EL2205000383;;Versão do firmware;V2,2;;
Número da Viagem;;;;;;
Número da Viagem;0000001;;;;;
Número da Viagem;Qualificacao Termica.                                                                              ;;;;;
Config. informação;;;;;;
Modo Iniciar;Início cronometrado;;Intervalo de registro;0:1:0;;
Atraso de início;0H0M;;Repita o início;Habilitar;;
Fuso horário;UTC -03:00;;Modo de parada;Botão + Software;;
Luz;Desabilitar;;O intervalo é encurtado após o limite ser excedido;Desabilitar;;
Mark Time;;;;;;
N/A;;;;;;
;;;;;;
Limiar de Alarme;Atraso de alarme;Duração acima do limite;Tempos acima do limite;Status de Alarme;;
H3:;;;;;;
H2:;;;;;;
H1:30,0°C;0D 0H 0M 0S;3D 8H 24M 0S;22;Alarme;;
Zona Ideal;Ilimitado;0D 0H 0M 0S;;;;
L1:15,0°C;0D 0H 0M 0S;0D 0H 0M 0S;0;Normal;;
L2:;;;;;;
Acima:;;;;;;
Zona Ideal;Ilimitado;;;;;
Abaixo:;;;;;;
Resumo;;;;;;
Máximo;32,8°C / 78,3%RH;;Primeira leitura;2024-02-15 18:00:00;;
Mínimo;27,9°C / 66,4%RH;;Ultima leitura;2024-02-21 18:00:00(Pare quando estiver cheio);;
Média;30,3°C / 73,5%RH;;Tempo de gravação;6D 0H 0M 0S;;
MKT;30,2°C;;Leituras Atuais;8641;;
Primeiro alarme(Temperatura);2024-02-15 18:00:00;;Primeiro alarme(Umidade);N/A;;
;;;;;;
Não.;Tempo;Temperatura°C;Umidade%RH;;;
6941;2024-02-20 13:40:00;32,8;68,7;;;
6942;2024-02-20 13:41:00;32,8;68,7;;;
6943;2024-02-20 13:42:00;32,8;68,7;;;
6944;2024-02-20 13:43:00;32,8;68,6;;;
6945;2024-02-20 13:44:00;32,8;68,6;;;
6946;2024-02-20 13:45:00;32,8;68,6;;;
6947;2024-02-20 13:46:00;32,8;68,6;;;
6948;2024-02-20 13:47:00;32,8;68,6;;;
6949;2024-02-20 13:48:00;32,8;68,6;;;
6950;2024-02-20 13:49:00;32,8;68,6;;;
6951;2024-02-20 13:50:00;32,8;68,6;;;
6952;2024-02-20 13:51:00;32,8;68,6;;;
6953;2024-02-20 13:52:00;32,8;68,5;;;
6954;2024-02-20 13:53:00;32,8;68,5;;;
6955;2024-02-20 13:54:00;32,8;68,5;;;
6956;2024-02-20 13:55:00;32,8;68,4;;;
6957;2024-02-20 13:56:00;32,8;68,3;;;
6958;2024-02-20 13:57:00;32,8;68,3;;;
6959;2024-02-20 13:58:00;32,8;68,3;;;
6960;2024-02-20 13:59:00;32,8;68,3;;;
6962;2024-02-20 14:01:00;32,8;68,3;;;
6963;2024-02-20 14:02:00;32,8;68,2;;;
6964;2024-02-20 14:03:00;32,8;68,2;;;
6965;2024-02-20 14:04:00;32,8;68,1;;;
6966;2024-02-20 14:05:00;32,8;68,1;;;
6967;2024-02-20 14:06:00;32,8;67,8;;;
6902;2024-02-20 13:01:00;32,7;68,3;;;
6903;2024-02-20 13:02:00;32,7;68,2;;;
6906;2024-02-20 13:05:00;32,7;68,2;;;
6907;2024-02-20 13:06:00;32,7;68,2;;;
6908;2024-02-20 13:07:00;32,7;68,2;;;
6911;2024-02-20 13:10:00;32,7;68,1;;;
6916;2024-02-20 13:15:00;32,7;68,2;;;
6917;2024-02-20 13:16:00;32,7;68,1;;;
6918;2024-02-20 13:17:00;32,7;68,2;;;
6919;2024-02-20 13:18:00;32,7;68,1;;;
6921;2024-02-20 13:20:00;32,7;68,3;;;
6922;2024-02-20 13:21:00;32,7;68,4;;;
6923;2024-02-20 13:22:00;32,7;68,4;;;
6924;2024-02-20 13:23:00;32,7;68,4;;;
6925;2024-02-20 13:24:00;32,7;68,4;;;
6926;2024-02-20 13:25:00;32,7;68,4;;;
6927;2024-02-20 13:26:00;32,7;68,4;;;
6928;2024-02-20 13:27:00;32,7;68,5;;;
6929;2024-02-20 13:28:00;32,7;68,6;;;
6930;2024-02-20 13:29:00;32,7;68,6;;;
6931;2024-02-20 13:30:00;32,7;68,6;;;
6932;2024-02-20 13:31:00;32,7;68,6;;;
6933;2024-02-20 13:32:00;32,7;68,6;;;
6934;2024-02-20 13:33:00;32,7;68,6;;;
6935;2024-02-20 13:34:00;32,7;68,6;;;
6936;2024-02-20 13:35:00;32,7;68,7;;;
6937;2024-02-20 13:36:00;32,7;68,7;;;
6938;2024-02-20 13:37:00;32,7;68,7;;;
6939;2024-02-20 13:38:00;32,7;68,7;;;
6940;2024-02-20 13:39:00;32,7;68,7;;;
6961;2024-02-20 14:00:00;32,7;68,2;;;
6968;2024-02-20 14:07:00;32,7;67,6;;;
6969;2024-02-20 14:08:00;32,7;67,4;;;
6970;2024-02-20 14:09:00;32,7;67,3;;;
6971;2024-02-20 14:10:00;32,7;67,2;;;
6972;2024-02-20 14:11:00;32,7;67,3;;;
6973;2024-02-20 14:12:00;32,7;67,1;;;
6974;2024-02-20 14:13:00;32,7;67,1;;;
6975;2024-02-20 14:14:00;32,7;67,1;;;
6976;2024-02-20 14:15:00;32,7;67,1;;;
6977;2024-02-20 14:16:00;32,7;67,1;;;
6978;2024-02-20 14:17:00;32,7;67,1;;;
6979;2024-02-20 14:18:00;32,7;67;;;
6980;2024-02-20 14:19:00;32,7;67;;;
6982;2024-02-20 14:21:00;32,7;67;;;
6983;2024-02-20 14:22:00;32,7;66,9;;;
6984;2024-02-20 14:23:00;32,7;67;;;
6987;2024-02-20 14:26:00;32,7;66,9;;;
6988;2024-02-20 14:27:00;32,7;66,9;;;
6990;2024-02-20 14:29:00;32,7;66,9;;;
7058;2024-02-20 15:37:00;32,7;67;;;
6879;2024-02-20 12:38:00;32,6;68,2;;;
6880;2024-02-20 12:39:00;32,6;68,2;;;
6881;2024-02-20 12:40:00;32,6;68,2;;;
6882;2024-02-20 12:41:00;32,6;68,2;;;
6883;2024-02-20 12:42:00;32,6;68,2;;;
6884;2024-02-20 12:43:00;32,6;68,2;;;
6885;2024-02-20 12:44:00;32,6;68,2;;;
6886;2024-02-20 12:45:00;32,6;68,2;;;
6887;2024-02-20 12:46:00;32,6;68,1;;;
6888;2024-02-20 12:47:00;32,6;68,2;;;
6889;2024-02-20 12:48:00;32,6;68,1;;;
6890;2024-02-20 12:49:00;32,6;68,1;;;
6891;2024-02-20 12:50:00;32,6;68,1;;;
6892;2024-02-20 12:51:00;32,6;68,1;;;
6893;2024-02-20 12:52:00;32,6;68,1;;;
6894;2024-02-20 12:53:00;32,6;68,1;;;
6895;2024-02-20 12:54:00;32,6;68,2;;;
6896;2024-02-20 12:55:00;32,6;68,2;;;
6897;2024-02-20 12:56:00;32,6;68,3;;;
6898;2024-02-20 12:57:00;32,6;68,3;;;
6899;2024-02-20 12:58:00;32,6;68,3;;;
6900;2024-02-20 12:59:00;32,6;68,3;;;
6901;2024-02-20 13:00:00;32,6;68,3;;;
6904;2024-02-20 13:03:00;32,6;68,2;;;
6905;2024-02-20 13:04:00;32,6;68,2;;;
6909;2024-02-20 13:08:00;32,6;68,2;;;
6910;2024-02-20 13:09:00;32,6;68,1;;;
6912;2024-02-20 13:11:00;32,6;68,2;;;
6913;2024-02-20 13:12:00;32,6;68,2;;;
6914;2024-02-20 13:13:00;32,6;68,1;;;
6915;2024-02-20 13:14:00;32,6;68,2;;;
6920;2024-02-20 13:19:00;32,6;68,2;;;
6981;2024-02-20 14:20:00;32,6;67;;;
6985;2024-02-20 14:24:00;32,6;67;;;
6986;2024-02-20 14:25:00;32,6;67;;;
6989;2024-02-20 14:28:00;32,6;66,8;;;
6991;2024-02-20 14:30:00;32,6;66,9;;;
6992;2024-02-20 14:31:00;32,6;66,8;;;
6993;2024-02-20 14:32:00;32,6;66,8;;;
6994;2024-02-20 14:33:00;32,6;66,8;;;
6995;2024-02-20 14:34:00;32,6;66,8;;;
6996;2024-02-20 14:35:00;32,6;66,7;;;
6997;2024-02-20 14:36:00;32,6;66,7;;;
6998;2024-02-20 14:37:00;32,6;66,6;;;
6999;2024-02-20 14:38:00;32,6;66,6;;;
7000;2024-02-20 14:39:00;32,6;66,4;;;
7001;2024-02-20 14:40:00;32,6;66,4;;;
7002;2024-02-20 14:41:00;32,6;66,4;;;
7003;2024-02-20 14:42:00;32,6;66,4;;;
7004;2024-02-20 14:43:00;32,6;66,4;;;
7005;2024-02-20 14:44:00;32,6;66,4;;;
7006;2024-02-20 14:45:00;32,6;66,4;;;
7007;2024-02-20 14:46:00;32,6;66,5;;;
7008;2024-02-20 14:47:00;32,6;66,5;;;
7009;2024-02-20 14:48:00;32,6;66,4;;;
7010;2024-02-20 14:49:00;32,6;66,4;;;
7011;2024-02-20 14:50:00;32,6;66,4;;;
7012;2024-02-20 14:51:00;32,6;66,5;;;
7013;2024-02-20 14:52:00;32,6;66,5;;;
7014;2024-02-20 14:53:00;32,6;66,5;;;
7015;2024-02-20 14:54:00;32,6;66,5;;;
7016;2024-02-20 14:55:00;32,6;66,5;;;
7017;2024-02-20 14:56:00;32,6;66,5;;;
7018;2024-02-20 14:57:00;32,6;66,5;;;
7019;2024-02-20 14:58:00;32,6;66,5;;;
7020;2024-02-20 14:59:00;32,6;66,4;;;
7021;2024-02-20 15:00:00;32,6;66,5;;;
7022;2024-02-20 15:01:00;32,6;66,5;;;
7023;2024-02-20 15:02:00;32,6;66,5;;;
7024;2024-02-20 15:03:00;32,6;66,5;;;
7025;2024-02-20 15:04:00;32,6;66,4;;;
7026;2024-02-20 15:05:00;32,6;66,4;;;
7027;2024-02-20 15:06:00;32,6;66,4;;;
7028;2024-02-20 15:07:00;32,6;66,4;;;
7029;2024-02-20 15:08:00;32,6;66,5;;;
7030;2024-02-20 15:09:00;32,6;66,6;;;
7031;2024-02-20 15:10:00;32,6;66,6;;;
7032;2024-02-20 15:11:00;32,6;66,5;;;
7033;2024-02-20 15:12:00;32,6;66,5;;;
7034;2024-02-20 15:13:00;32,6;66,5;;;
7035;2024-02-20 15:14:00;32,6;66,5;;;
7036;2024-02-20 15:15:00;32,6;66,6;;;
7037;2024-02-20 15:16:00;32,6;66,6;;;
7038;2024-02-20 15:17:00;32,6;66,7;;;
7039;2024-02-20 15:18:00;32,6;66,7;;;
7040;2024-02-20 15:19:00;32,6;66,8;;;
7041;2024-02-20 15:20:00;32,6;66,8;;;
7042;2024-02-20 15:21:00;32,6;66,8;;;
7043;2024-02-20 15:22:00;32,6;66,8;;;
7044;2024-02-20 15:23:00;32,6;66,8;;;
7045;2024-02-20 15:24:00;32,6;66,8;;;
7046;2024-02-20 15:25:00;32,6;66,9;;;
7047;2024-02-20 15:26:00;32,6;66,8;;;
7048;2024-02-20 15:27:00;32,6;66,9;;;
7049;2024-02-20 15:28:00;32,6;66,8;;;
7050;2024-02-20 15:29:00;32,6;66,8;;;
7051;2024-02-20 15:30:00;32,6;66,8;;;
7052;2024-02-20 15:31:00;32,6;66,9;;;
7053;2024-02-20 15:32:00;32,6;66,9;;;
7054;2024-02-20 15:33:00;32,6;67;;;
7055;2024-02-20 15:34:00;32,6;67;;;
7056;2024-02-20 15:35:00;32,6;67;;;
7057;2024-02-20 15:36:00;32,6;67;;;
7059;2024-02-20 15:38:00;32,6;67,1;;;
7060;2024-02-20 15:39:00;32,6;67,1;;;
7061;2024-02-20 15:40:00;32,6;67,2;;;
7062;2024-02-20 15:41:00;32,6;67,2;;;
7063;2024-02-20 15:42:00;32,6;67,2;;;
7064;2024-02-20 15:43:00;32,6;67,3;;;
7065;2024-02-20 15:44:00;32,6;67,3;;;
7066;2024-02-20 15:45:00;32,6;67,3;;;
7067;2024-02-20 15:46:00;32,6;67,3;;;
7068;2024-02-20 15:47:00;32,6;67,4;;;
7069;2024-02-20 15:48:00;32,6;67,4;;;
7070;2024-02-20 15:49:00;32,6;67,5;;;
7071;2024-02-20 15:50:00;32,6;67,5;;;
7072;2024-02-20 15:51:00;32,6;67,6;;;
7074;2024-02-20 15:53:00;32,6;67,7;;;
7081;2024-02-20 16:00:00;32,6;67,7;;;
7089;2024-02-20 16:08:00;32,6;67,7;;;
6869;2024-02-20 12:28:00;32,5;68,8;;;
6870;2024-02-20 12:29:00;32,5;68,8;;;
6871;2024-02-20 12:30:00;32,5;68,7;;;
6872;2024-02-20 12:31:00;32,5;68,6;;;
6873;2024-02-20 12:32:00;32,5;68,5;;;
6874;2024-02-20 12:33:00;32,5;68,4;;;
6875;2024-02-20 12:34:00;32,5;68,4;;;
6876;2024-02-20 12:35:00;32,5;68,3;;;
6877;2024-02-20 12:36:00;32,5;68,2;;;
6878;2024-02-20 12:37:00;32,5;68,2;;;
7073;2024-02-20 15:52:00;32,5;67,5;;;
7075;2024-02-20 15:54:00;32,5;67,6;;;
7076;2024-02-20 15:55:00;32,5;67,7;;;
7077;2024-02-20 15:56:00;32,5;67,7;;;
7078;2024-02-20 15:57:00;32,5;67,7;;;
7079;2024-02-20 15:58:00;32,5;67,7;;;
7080;2024-02-20 15:59:00;32,5;67,7;;;
7082;2024-02-20 16:01:00;32,5;67,7;;;
7083;2024-02-20 16:02:00;32,5;67,7;;;
7084;2024-02-20 16:03:00;32,5;67,7;;;
7085;2024-02-20 16:04:00;32,5;67,7;;;
7086;2024-02-20 16:05:00;32,5;67,7;;;
7087;2024-02-20 16:06:00;32,5;67,7;;;
7088;2024-02-20 16:07:00;32,5;67,7;;;
7090;2024-02-20 16:09:00;32,5;67,7;;;
7091;2024-02-20 16:10:00;32,5;67,8;;;
7092;2024-02-20 16:11:00;32,5;67,8;;;
7093;2024-02-20 16:12:00;32,5;67,8;;;
7094;2024-02-20 16:13:00;32,5;67,8;;;
7095;2024-02-20 16:14:00;32,5;67,8;;;
7096;2024-02-20 16:15:00;32,5;67,8;;;
7097;2024-02-20 16:16:00;32,5;67,8;;;
7098;2024-02-20 16:17:00;32,5;67,9;;;
7099;2024-02-20 16:18:00;32,5;67,9;;;
7100;2024-02-20 16:19:00;32,5;67,9;;;
7101;2024-02-20 16:20:00;32,5;68;;;
7102;2024-02-20 16:21:00;32,5;68;;;
7103;2024-02-20 16:22:00;32,5;68;;;
7104;2024-02-20 16:23:00;32,5;68,1;;;
5537;2024-02-19 14:16:00;32,4;68,4;;;
5542;2024-02-19 14:21:00;32,4;68,2;;;
5543;2024-02-19 14:22:00;32,4;68,3;;;
5544;2024-02-19 14:23:00;32,4;68,4;;;
5545;2024-02-19 14:24:00;32,4;68,4;;;
5546;2024-02-19 14:25:00;32,4;68,4;;;
5547;2024-02-19 14:26:00;32,4;68,4;;;
5548;2024-02-19 14:27:00;32,4;68,3;;;
5549;2024-02-19 14:28:00;32,4;68,2;;;
5550;2024-02-19 14:29:00;32,4;68,1;;;
5551;2024-02-19 14:30:00;32,4;68;;;
5552;2024-02-19 14:31:00;32,4;68,1;;;
5553;2024-02-19 14:32:00;32,4;68,1;;;
5554;2024-02-19 14:33:00;32,4;68,3;;;
5555;2024-02-19 14:34:00;32,4;68,3;;;
5556;2024-02-19 14:35:00;32,4;68,2;;;
5557;2024-02-19 14:36:00;32,4;68,3;;;
5558;2024-02-19 14:37:00;32,4;68,2;;;
5559;2024-02-19 14:38:00;32,4;68,2;;;
5560;2024-02-19 14:39:00;32,4;68,1;;;
5561;2024-02-19 14:40:00;32,4;68,1;;;
5562;2024-02-19 14:41:00;32,4;68,2;;;
5563;2024-02-19 14:42:00;32,4;68,1;;;
5564;2024-02-19 14:43:00;32,4;68;;;
5565;2024-02-19 14:44:00;32,4;68;;;
5567;2024-02-19 14:46:00;32,4;67,8;;;
6840;2024-02-20 11:59:00;32,4;69,1;;;
6846;2024-02-20 12:05:00;32,4;69;;;
6849;2024-02-20 12:08:00;32,4;69;;;
6852;2024-02-20 12:11:00;32,4;69;;;
6853;2024-02-20 12:12:00;32,4;69;;;
6861;2024-02-20 12:20:00;32,4;69;;;
6862;2024-02-20 12:21:00;32,4;69;;;
6863;2024-02-20 12:22:00;32,4;69;;;
6864;2024-02-20 12:23:00;32,4;69;;;
6865;2024-02-20 12:24:00;32,4;69;;;
6866;2024-02-20 12:25:00;32,4;69;;;
6867;2024-02-20 12:26:00;32,4;69;;;
6868;2024-02-20 12:27:00;32,4;68,9;;;
7105;2024-02-20 16:24:00;32,4;68,1;;;
7106;2024-02-20 16:25:00;32,4;68;;;
7107;2024-02-20 16:26:00;32,4;68;;;
7108;2024-02-20 16:27:00;32,4;67,9;;;
7109;2024-02-20 16:28:00;32,4;68;;;
7110;2024-02-20 16:29:00;32,4;68;;;
7111;2024-02-20 16:30:00;32,4;68;;;
7112;2024-02-20 16:31:00;32,4;68;;;
7113;2024-02-20 16:32:00;32,4;68;;;
7114;2024-02-20 16:33:00;32,4;68,1;;;
7115;2024-02-20 16:34:00;32,4;68,1;;;
7116;2024-02-20 16:35:00;32,4;68,1;;;
7117;2024-02-20 16:36:00;32,4;68,2;;;
7118;2024-02-20 16:37:00;32,4;68,2;;;
7119;2024-02-20 16:38:00;32,4;68,2;;;
7120;2024-02-20 16:39:00;32,4;68,2;;;
7121;2024-02-20 16:40:00;32,4;68,2;;;
7122;2024-02-20 16:41:00;32,4;68,3;;;
7123;2024-02-20 16:42:00;32,4;68,3;;;
7124;2024-02-20 16:43:00;32,4;68,3;;;
7127;2024-02-20 16:46:00;32,4;68,4;;;
7128;2024-02-20 16:47:00;32,4;68,4;;;
7131;2024-02-20 16:50:00;32,4;68,5;;;
7132;2024-02-20 16:51:00;32,4;68,5;;;
7135;2024-02-20 16:54:00;32,4;68,6;;;
5520;2024-02-19 13:59:00;32,3;68,8;;;
5521;2024-02-19 14:00:00;32,3;68,8;;;
5522;2024-02-19 14:01:00;32,3;68,8;;;
5523;2024-02-19 14:02:00;32,3;68,7;;;
5524;2024-02-19 14:03:00;32,3;68,8;;;
5525;2024-02-19 14:04:00;32,3;68,7;;;
5526;2024-02-19 14:05:00;32,3;68,8;;;
5527;2024-02-19 14:06:00;32,3;68,7;;;
5528;2024-02-19 14:07:00;32,3;68,6;;;
5529;2024-02-19 14:08:00;32,3;68,6;;;
5530;2024-02-19 14:09:00;32,3;68,5;;;
5531;2024-02-19 14:10:00;32,3;68,5;;;
5532;2024-02-19 14:11:00;32,3;68,4;;;
5533;2024-02-19 14:12:00;32,3;68,3;;;
5534;2024-02-19 14:13:00;32,3;68,4;;;
5535;2024-02-19 14:14:00;32,3;68,4;;;
5536;2024-02-19 14:15:00;32,3;68,3;;;
5538;2024-02-19 14:17:00;32,3;68,3;;;
5539;2024-02-19 14:18:00;32,3;68,3;;;
5540;2024-02-19 14:19:00;32,3;68,3;;;
5541;2024-02-19 14:20:00;32,3;68,2;;;
5566;2024-02-19 14:45:00;32,3;68;;;
5568;2024-02-19 14:47:00;32,3;67,8;;;
5569;2024-02-19 14:48:00;32,3;67,7;;;
5570;2024-02-19 14:49:00;32,3;67,7;;;
5571;2024-02-19 14:50:00;32,3;67,8;;;
5572;2024-02-19 14:51:00;32,3;67,9;;;
5573;2024-02-19 14:52:00;32,3;68;;;
5574;2024-02-19 14:53:00;32,3;67,9;;;
5575;2024-02-19 14:54:00;32,3;67,9;;;
5576;2024-02-19 14:55:00;32,3;68;;;
5577;2024-02-19 14:56:00;32,3;68,1;;;
5578;2024-02-19 14:57:00;32,3;68;;;
5579;2024-02-19 14:58:00;32,3;68,1;;;
5580;2024-02-19 14:59:00;32,3;68,1;;;
5581;2024-02-19 15:00:00;32,3;68;;;
5582;2024-02-19 15:01:00;32,3;68,1;;;
5583;2024-02-19 15:02:00;32,3;68;;;
5585;2024-02-19 15:04:00;32,3;68,2;;;
5586;2024-02-19 15:05:00;32,3;68,2;;;
5587;2024-02-19 15:06:00;32,3;68,1;;;
5588;2024-02-19 15:07:00;32,3;68,1;;;
5589;2024-02-19 15:08:00;32,3;68,2;;;
6833;2024-02-20 11:52:00;32,3;69,2;;;
6834;2024-02-20 11:53:00;32,3;69,2;;;
6835;2024-02-20 11:54:00;32,3;69,1;;;
6836;2024-02-20 11:55:00;32,3;69,1;;;
6837;2024-02-20 11:56:00;32,3;69,1;;;
6838;2024-02-20 11:57:00;32,3;69,1;;;
6839;2024-02-20 11:58:00;32,3;69,1;;;
6841;2024-02-20 12:00:00;32,3;69,1;;;
6842;2024-02-20 12:01:00;32,3;69,1;;;
6843;2024-02-20 12:02:00;32,3;69,1;;;
6844;2024-02-20 12:03:00;32,3;69;;;
6845;2024-02-20 12:04:00;32,3;69;;;
6847;2024-02-20 12:06:00;32,3;69;;;
6848;2024-02-20 12:07:00;32,3;69;;;
6850;2024-02-20 12:09:00;32,3;69;;;
6851;2024-02-20 12:10:00;32,3;69;;;
6854;2024-02-20 12:13:00;32,3;69,1;;;
6855;2024-02-20 12:14:00;32,3;69,1;;;
6856;2024-02-20 12:15:00;32,3;69,1;;;
6857;2024-02-20 12:16:00;32,3;69;;;
6858;2024-02-20 12:17:00;32,3;69;;;
6859;2024-02-20 12:18:00;32,3;69,1;;;
6860;2024-02-20 12:19:00;32,3;69,1;;;
7125;2024-02-20 16:44:00;32,3;68,3;;;
7126;2024-02-20 16:45:00;32,3;68,3;;;
7129;2024-02-20 16:48:00;32,3;68,4;;;
7130;2024-02-20 16:49:00;32,3;68,4;;;
7133;2024-02-20 16:52:00;32,3;68,5;;;
7134;2024-02-20 16:53:00;32,3;68,5;;;
7136;2024-02-20 16:55:00;32,3;68,6;;;
7137;2024-02-20 16:56:00;32,3;68,6;;;
7138;2024-02-20 16:57:00;32,3;68,7;;;
7139;2024-02-20 16:58:00;32,3;68,7;;;
7140;2024-02-20 16:59:00;32,3;68,7;;;
7141;2024-02-20 17:00:00;32,3;68,8;;;
7142;2024-02-20 17:01:00;32,3;68,8;;;
7143;2024-02-20 17:02:00;32,3;68,9;;;
7144;2024-02-20 17:03:00;32,3;68,9;;;
7145;2024-02-20 17:04:00;32,3;69;;;
7146;2024-02-20 17:05:00;32,3;69;;;
7147;2024-02-20 17:06:00;32,3;69,1;;;
7148;2024-02-20 17:07:00;32,3;69,2;;;
7149;2024-02-20 17:08:00;32,3;69,3;;;
7150;2024-02-20 17:09:00;32,3;69,3;;;
7151;2024-02-20 17:10:00;32,3;69,3;;;
7152;2024-02-20 17:11:00;32,3;69,3;;;
7153;2024-02-20 17:12:00;32,3;69,3;;;
7154;2024-02-20 17:13:00;32,3;69,4;;;
7155;2024-02-20 17:14:00;32,3;69,4;;;
7157;2024-02-20 17:16:00;32,3;69,5;;;
7160;2024-02-20 17:19:00;32,3;69,6;;;
5500;2024-02-19 13:39:00;32,2;69,2;;;
5503;2024-02-19 13:42:00;32,2;69,1;;;
5505;2024-02-19 13:44:00;32,2;69;;;
5506;2024-02-19 13:45:00;32,2;69,1;;;
5507;2024-02-19 13:46:00;32,2;69,1;;;
5508;2024-02-19 13:47:00;32,2;69;;;
5509;2024-02-19 13:48:00;32,2;69;;;
5510;2024-02-19 13:49:00;32,2;69,1;;;
5512;2024-02-19 13:51:00;32,2;69;;;
5513;2024-02-19 13:52:00;32,2;69,1;;;
5514;2024-02-19 13:53:00;32,2;69;;;
5515;2024-02-19 13:54:00;32,2;69;;;
5516;2024-02-19 13:55:00;32,2;69;;;
5517;2024-02-19 13:56:00;32,2;68,9;;;
5518;2024-02-19 13:57:00;32,2;68,8;;;
5519;2024-02-19 13:58:00;32,2;68,7;;;
5584;2024-02-19 15:03:00;32,2;68,2;;;
5590;2024-02-19 15:09:00;32,2;68,2;;;
5591;2024-02-19 15:10:00;32,2;68,3;;;
5592;2024-02-19 15:11:00;32,2;68,3;;;
5593;2024-02-19 15:12:00;32,2;68,4;;;
5594;2024-02-19 15:13:00;32,2;68,4;;;
5595;2024-02-19 15:14:00;32,2;68,4;;;
5596;2024-02-19 15:15:00;32,2;68,4;;;
5597;2024-02-19 15:16:00;32,2;68,3;;;
5598;2024-02-19 15:17:00;32,2;68,3;;;
5599;2024-02-19 15:18:00;32,2;68,4;;;
5600;2024-02-19 15:19:00;32,2;68,2;;;
5601;2024-02-19 15:20:00;32,2;68,2;;;
5602;2024-02-19 15:21:00;32,2;68,1;;;
5603;2024-02-19 15:22:00;32,2;68,2;;;
5604;2024-02-19 15:23:00;32,2;68,1;;;
5605;2024-02-19 15:24:00;32,2;68,1;;;
5606;2024-02-19 15:25:00;32,2;68,1;;;
5607;2024-02-19 15:26:00;32,2;68,1;;;
5608;2024-02-19 15:27:00;32,2;68,2;;;
5609;2024-02-19 15:28:00;32,2;68,1;;;
5610;2024-02-19 15:29:00;32,2;68,1;;;
5611;2024-02-19 15:30:00;32,2;68;;;
5612;2024-02-19 15:31:00;32,2;68,1;;;
5613;2024-02-19 15:32:00;32,2;68,1;;;
5614;2024-02-19 15:33:00;32,2;68,1;;;
5615;2024-02-19 15:34:00;32,2;68;;;
5616;2024-02-19 15:35:00;32,2;68,1;;;
5617;2024-02-19 15:36:00;32,2;68,1;;;
5618;2024-02-19 15:37:00;32,2;68,1;;;
5619;2024-02-19 15:38:00;32,2;68,1;;;
5620;2024-02-19 15:39:00;32,2;68,1;;;
5621;2024-02-19 15:40:00;32,2;68,2;;;
5622;2024-02-19 15:41:00;32,2;68,2;;;
5623;2024-02-19 15:42:00;32,2;68,2;;;
5624;2024-02-19 15:43:00;32,2;68;;;
5625;2024-02-19 15:44:00;32,2;68,1;;;
5626;2024-02-19 15:45:00;32,2;68,1;;;
5627;2024-02-19 15:46:00;32,2;68,1;;;
5628;2024-02-19 15:47:00;32,2;68,1;;;
5632;2024-02-19 15:51:00;32,2;67,9;;;
6822;2024-02-20 11:41:00;32,2;69,4;;;
6823;2024-02-20 11:42:00;32,2;69,4;;;
6825;2024-02-20 11:44:00;32,2;69,4;;;
6826;2024-02-20 11:45:00;32,2;69,4;;;
6827;2024-02-20 11:46:00;32,2;69,4;;;
6828;2024-02-20 11:47:00;32,2;69,4;;;
6829;2024-02-20 11:48:00;32,2;69,3;;;
6830;2024-02-20 11:49:00;32,2;69,3;;;
6831;2024-02-20 11:50:00;32,2;69,3;;;
6832;2024-02-20 11:51:00;32,2;69,2;;;
7156;2024-02-20 17:15:00;32,2;69,5;;;
7158;2024-02-20 17:17:00;32,2;69,5;;;
7159;2024-02-20 17:18:00;32,2;69,6;;;
7161;2024-02-20 17:20:00;32,2;69,7;;;
7162;2024-02-20 17:21:00;32,2;69,7;;;
7163;2024-02-20 17:22:00;32,2;69,7;;;
7164;2024-02-20 17:23:00;32,2;69,7;;;
7165;2024-02-20 17:24:00;32,2;69,7;;;
7166;2024-02-20 17:25:00;32,2;69,7;;;
7167;2024-02-20 17:26:00;32,2;69,7;;;
7168;2024-02-20 17:27:00;32,2;69,8;;;
7169;2024-02-20 17:28:00;32,2;69,8;;;
7170;2024-02-20 17:29:00;32,2;69,8;;;
7171;2024-02-20 17:30:00;32,2;69,8;;;
7172;2024-02-20 17:31:00;32,2;69,8;;;
7173;2024-02-20 17:32:00;32,2;69,8;;;
7174;2024-02-20 17:33:00;32,2;69,8;;;
7175;2024-02-20 17:34:00;32,2;69,9;;;
7176;2024-02-20 17:35:00;32,2;69,9;;;
7178;2024-02-20 17:37:00;32,2;69,9;;;
5484;2024-02-19 13:23:00;32,1;69,7;;;
5485;2024-02-19 13:24:00;32,1;69,6;;;
5486;2024-02-19 13:25:00;32,1;69,6;;;
5487;2024-02-19 13:26:00;32,1;69,6;;;
5488;2024-02-19 13:27:00;32,1;69,4;;;
5489;2024-02-19 13:28:00;32,1;69,3;;;
5490;2024-02-19 13:29:00;32,1;69,4;;;
5491;2024-02-19 13:30:00;32,1;69,4;;;
5492;2024-02-19 13:31:00;32,1;69,3;;;
